trial_id,participant,group,phase,rep,n_samples,wall_time_s,active_time_s,total_path_m,mean_speed_m_s,p95_speed_m_s,p95_angspeed_rad_s,median_dt_s,effective_hz,jitter_sd_ms,p99_dt_ms,n_gaps_gt_50ms,max_gap_s,q_sign_flips
T035,P010,SECMA,POST,1,5377,58.323,58.323,7.983833288902123,0.1368923097442248,0.4049910469217364,1.5225039050291265,0.0109999999999992,90.90909090909724,0.8667557148753425,12.9999999999999,0,0.018,2453
T036,P010,SECMA,POST,2,5128,54.674,54.674,6.359628175531581,0.11632756860311,0.4475515073399828,1.3951486944973053,0.0109999999999992,90.90909090909724,0.7801629744373018,12.000000000000457,0,0.0180000000000006,1440
T037,P010,SECMA,PRE,1,16282,175.676,175.676,15.145671669968896,0.0862112104893235,0.1275822837049401,1.0020928615564986,0.0109999999999956,90.90909090912662,0.8241103874684191,12.999999999998124,0,0.0269999999999939,10890
T038,P010,SECMA,PRE,2,10508,113.55,113.55,19.330953290553797,0.1702372750218962,0.7364492034066777,1.161554992575646,0.0109999999999956,90.90909090912662,0.8210277331226121,12.999999999998124,0,0.0180000000000006,5737
T039,P011,BOX,POST,1,6409,69.795,69.795,4.857144990860145,0.0695915895244714,0.2827562890102698,1.7761531094198144,0.0109999999999992,90.90909090909724,0.8230386749207452,12.9999999999999,0,0.0180000000000006,117
T040,P011,BOX,POST,2,5118,55.104,55.104,3.4918251241541234,0.0633736569475737,0.2506530412842448,1.5802260648171376,0.0109999999999992,90.90909090909724,0.7890847981079476,12.999999999998124,0,0.0180000000000006,0
T041,P011,BOX,PRE,1,12144,131.422,131.422,5.726061133026686,0.0435716926503339,0.1397713316810807,0.9105309534691088,0.0109999999999956,90.90909090912662,0.8329393693948924,12.9999999999999,0,0.0190000000000054,0
T042,P011,BOX,PRE,2,12568,135.434,135.434,6.5499304201351976,0.048363240741758,0.1416368328110226,0.9489390685041174,0.0109999999999956,90.90909090912662,0.8115338349191669,12.9999999999999,0,0.0169999999999959,0
T043,P012,BOX,POST,1,8858,93.867,93.867,8.313798837445514,0.0885737600273673,0.2630171023638976,0.9754654679609314,0.0109999999999956,90.90909090912662,0.8389436214515139,12.999999999998124,0,0.0170000000000101,681
T044,P012,BOX,POST,2,5804,62.353,62.353,3.935550308607057,0.0631223184161052,0.25341122913375,0.9922977448583616,0.0109999999999992,90.90909090909724,0.8222328652993166,12.9999999999999,0,0.0169999999999959,18
T045,P012,BOX,PRE,1,13082,140.467,140.467,5.801594455060168,0.0413013060088449,0.1301160575908719,0.7838362316249202,0.0109999999999956,90.90909090912662,0.8077300171533285,12.999999999998124,0,0.0189999999999912,456
T046,P012,BOX,PRE,2,11808,127.14,127.14,4.844040052585301,0.0381006469551762,0.1351075851449349,0.6945934130182811,0.0109999999999956,90.90909090912662,0.8215571104985707,12.9999999999999,0,0.0199999999999995,87
T047,P013,SECMA,POST,1,6236,67.13,67.13,3.791831117370579,0.0564823725644741,0.2460999776289884,1.0994910831432434,0.0109999999999992,90.90909090909724,0.845970378749813,12.9999999999999,0,0.0200000000000102,28
T048,P013,SECMA,POST,2,5624,60.28,60.28,3.977283491666868,0.0659801508239407,0.2781818992665126,1.2397280372540382,0.0109999999999992,90.90909090909724,0.7793769724451468,12.999999999998124,0,0.017000000000003,51
T049,P013,SECMA,PRE,1,14225,152.683,152.683,4.805137381276454,0.0314719503620535,0.1076068237865361,0.6318076036382209,0.0109999999999956,90.90909090912662,0.7859565419036549,12.999999999998124,0,0.0190000000000054,5
T050,P013,SECMA,PRE,2,10448,112.013,112.013,4.432705938324168,0.0395731382815022,0.1350373807630744,0.8349663679800798,0.0109999999999956,90.90909090912662,0.8012747084836417,12.999999999998124,0,0.0190000000000001,0
T051,P014,SECMA,POST,1,8926,96.149,96.149,4.060876691321225,0.042234367727042,0.157925954092417,0.8495918388822722,0.0109999999999956,90.90909090912662,0.8136616665357024,12.999999999998124,0,0.0229999999999996,40
T052,P014,SECMA,PRE,1,17391,207.553,188.835,6.37188211843198,0.033742762903639,0.0981899598675262,0.8899437405306784,0.0109999999999956,90.90909090912662,0.8818029494036158,13.00000000000523,1,18.71799999999999,596
T053,P015,BOX,POST,1,4349,47.403,47.403,3.41892476052954,0.0721307361026557,0.2269828525260306,1.2353707839727102,0.0109999999999992,90.90909090909724,0.8848412733718185,12.99999999999996,0,0.0180000000000006,578
T054,P015,BOX,POST,2,5368,58.574,58.574,3.842335010275439,0.0655968418314247,0.2458309218875712,1.3130780891466938,0.0109999999999992,90.90909090909724,0.8744369304548041,13.000000000001677,0,0.0189999999999983,0
T055,P015,BOX,PRE,1,11710,126.834,126.834,5.4374509131278455,0.0428719617845145,0.1250754692232281,0.7267887897078713,0.0109999999999956,90.90909090912662,0.885542035828831,13.00000000000523,0,0.0250000000000056,21
T056,P015,BOX,PRE,2,14640,157.82,157.82,6.525468853280172,0.0413483265635687,0.1252566196363895,0.8344459295706388,0.0109999999999956,90.90909090912662,0.8612420308805028,13.00000000000523,0,0.0180000000000006,0
T057,P016,SECMA,POST,1,11754,126.37,126.37,3.3039141282660287,0.0261451801743109,0.0742719505198318,0.6510013560539588,0.0109999999999956,90.90909090912662,0.8041231526894739,12.999999999998124,0,0.0190000000000001,27
T058,P016,SECMA,POST,2,8863,95.113,95.113,2.824036229207148,0.0296901314087729,0.094730854475885,0.7873558111114526,0.0109999999999956,90.90909090912662,0.7949533436909445,12.999999999998124,0,0.0169999999999959,55
T059,P016,SECMA,PRE,1,17541,189.859,189.859,7.6070474210128705,0.0400666144581052,0.0791430125291239,0.7073247823669153,0.0109999999999956,90.90909090912662,0.8236970443096708,13.00000000000523,0,0.0219999999999913,9217
T060,P017,BOX,POST,1,9168,98.246,98.246,3.969756950083557,0.0404083524199175,0.1539918653772199,0.8051853382484595,0.0109999999999956,90.90909090912662,0.7719914754721174,12.000000000000457,0,0.0169999999999959,404
T061,P017,BOX,PRE,1,10212,109.755,109.755,6.801590666999636,0.0619689741704687,0.1871180944707745,0.8437543046541557,0.0109999999999956,90.90909090912662,0.8276070496627362,12.999999999998124,0,0.0219999999999913,2449
T062,P017,BOX,PRE,2,11082,118.954,118.954,6.664108316602519,0.0560225660053897,0.218313578797635,0.7070450296044878,0.0109999999999956,90.90909090912662,0.8064805878340517,12.99999999999102,0,0.017000000000003,6824
T063,P018,BOX,POST,1,9314,99.859,99.859,4.09586429852851,0.0410168869647911,0.1562573731837149,0.8602806015490169,0.0109999999999956,90.90909090912662,0.8034397159740131,12.999999999998124,0,0.0180000000000006,0
T064,P018,BOX,POST,2,8790,94.59,94.59,8.142210289364595,0.0860798854979732,0.2307157366340193,0.9617464940532428,0.0109999999999956,90.90909090912662,0.7829021232381292,12.000000000000457,0,0.0180000000000006,1339
T065,P018,BOX,PRE,1,12332,133.304,133.304,5.259084724255555,0.0394503351180912,0.1194734324706383,0.7545324920828663,0.0109999999999956,90.90909090912662,0.8161034497917005,12.9999999999999,0,0.0180000000000006,136
T066,P018,BOX,PRE,2,13258,143.236,143.236,8.10075647560209,0.0565572849146153,0.1549759821485242,0.7530410625271807,0.0109999999999956,90.90909090912662,0.8275672739909417,12.999999999998124,0,0.019,1501
